21349740979055:223	FINAL GAP: 2068915
21349733157610:367	FINAL GAP: -5752530
21349730840655:797	FINAL GAP: -8069485
21349729066435:593	FINAL GAP: -9843705
21349745477970:127	FINAL GAP: 6567830
21349744881465:647	FINAL GAP: 5971325
21349743564347:467	FINAL GAP: 4654207
21349737054282:439	FINAL GAP: -1855858
21349741660338:443	FINAL GAP: 2750198
21349733070666:727	FINAL GAP: -5839474
21349731633373:887	FINAL GAP: -7276767
21349738713210:619	FINAL GAP: -196930
21349748145418:659	FINAL GAP: 9235278
21349729739415:787	FINAL GAP: -9170725
21349734946707:773	FINAL GAP: -3963433
21349745072434:643	FINAL GAP: 6162294
21349732688291:503	FINAL GAP: -6221849
21349742899290:283	FINAL GAP: 3989150
21349731736410:631	FINAL GAP: -7173730
21349745756339:773	FINAL GAP: 6846199
21349729204090:773	FINAL GAP: -9706050
21349733462655:337	FINAL GAP: -5447485
21349741219842:571	FINAL GAP: 2309702
21349729624047:541	FINAL GAP: -9286093
21349744767845:499	FINAL GAP: 5857705
21349740295587:811	FINAL GAP: 1385447
21349740166235:521	FINAL GAP: 1256095
21349743503946:757	FINAL GAP: 4593806
21349732009515:251	FINAL GAP: -6900625
21349748006015:491	FINAL GAP: 9095875
21349747933910:757	FINAL GAP: 9023770
21349747430011:631	FINAL GAP: 8519871
21349731798122:419	FINAL GAP: -7112018
21349737916122:853	FINAL GAP: -994018
21349730636234:653	FINAL GAP: -8273906
21349740704182:859	FINAL GAP: 1794042
21349740163290:401	FINAL GAP: 1253150
21349748485065:811	FINAL GAP: 9574925
21349741036910:457	FINAL GAP: 2126770
21349743285541:823	FINAL GAP: 4375401
21349732204437:283	FINAL GAP: -6705703
21349738435753:467	FINAL GAP: -474387
21349745400830:829	FINAL GAP: 6490690
21349735276870:757	FINAL GAP: -3633270
21349740974210:503	FINAL GAP: 2064070
21349729060374:647	FINAL GAP: -9849766
21349731094115:277	FINAL GAP: -7816025
21349747206305:593	FINAL GAP: 8296165
21349735297485:317	FINAL GAP: -3612655
21349741786555:857	FINAL GAP: 2876415
21349733038746:271	FINAL GAP: -5871394
21349738378031:683	FINAL GAP: -532109
21349738482474:883	FINAL GAP: -427666
21349746889955:863	FINAL GAP: 7979815
21349731488631:461	FINAL GAP: -7421509
21349733966470:677	FINAL GAP: -4943670
21349735102410:461	FINAL GAP: -3807730
21349744622206:881	FINAL GAP: 5712066
21349745233687:191	FINAL GAP: 6323547
21349729576110:739	FINAL GAP: -9334030
21349736184595:619	FINAL GAP: -2725545
21349734766815:743	FINAL GAP: -4143325
21349735071385:887	FINAL GAP: -3838755
21349746773238:373	FINAL GAP: 7863098
21349731226070:503	FINAL GAP: -7684070
21349744833395:859	FINAL GAP: 5923255
21349736014035:571	FINAL GAP: -2896105
21349745749255:251	FINAL GAP: 6839115
21349741375851:761	FINAL GAP: 2465711
21349738954434:569	FINAL GAP: 44294
21349740112701:281	FINAL GAP: 1202561
21349736938990:883	FINAL GAP: -1971150
21349748681313:701	FINAL GAP: 9771173
21349747053830:769	FINAL GAP: 8143690
21349743793235:691	FINAL GAP: 4883095
21349733600195:733	FINAL GAP: -5309945
21349735006530:211	FINAL GAP: -3903610
21349743126530:727	FINAL GAP: 4216390
21349746763917:881	FINAL GAP: 7853777
21349745338567:443	FINAL GAP: 6428427
21349735885383:421	FINAL GAP: -3024757
21349747367949:337	FINAL GAP: 8457809
21349729411665:577	FINAL GAP: -9498475
21349743701979:823	FINAL GAP: 4791839
21349733651895:661	FINAL GAP: -5258245
21349730990926:857	FINAL GAP: -7919214
21349731001170:349	FINAL GAP: -7908970
21349741516831:613	FINAL GAP: 2606691
21349738274899:821	FINAL GAP: -635241
21349739731306:853	FINAL GAP: 821166
21349730715730:859	FINAL GAP: -8194410
21349729710078:683	FINAL GAP: -9200062
21349745025466:733	FINAL GAP: 6115326
21349733435745:397	FINAL GAP: -5474395
21349735372630:773	FINAL GAP: -3537510
21349746860638:809	FINAL GAP: 7950498
21349733845011:643	FINAL GAP: -5065129
21349729013690:827	FINAL GAP: -9896450
21349742448021:701	FINAL GAP: 3537881
21349742058606:409	FINAL GAP: 3148466
21349741546718:307	FINAL GAP: 2636578
21349737741322:199	FINAL GAP: -1168818
21349748657445:619	FINAL GAP: 9747305
21349746398706:739	FINAL GAP: 7488566
21349739245191:751	FINAL GAP: 335051
21349738806234:863	FINAL GAP: -103906
21349731954397:757	FINAL GAP: -6955743
21349747632855:541	FINAL GAP: 8722715
21349738280409:547	FINAL GAP: -629731
21349729336078:577	FINAL GAP: -9574062
21349730423670:859	FINAL GAP: -8486470
21349735956690:881	FINAL GAP: -2953450
21349738520957:487	FINAL GAP: -389183
21349731066202:859	FINAL GAP: -7843938
21349733984813:641	FINAL GAP: -4925327
21349747900470:347	FINAL GAP: 8990330
21349745218373:701	FINAL GAP: 6308233
21349738054898:587	FINAL GAP: -855242
21349747626735:839	FINAL GAP: 8716595
21349745448990:241	FINAL GAP: 6538850
21349734931798:593	FINAL GAP: -3978342
